Name,Year,tmdb_id,genres,release_year,director,runtime,countries
Saving Private Ryan,1998,857,"['Drama', 'History', 'War']",1998,Steven Spielberg,169,['US']
The Social Network,2010,37799,['Drama'],2010,David Fincher,121,['US']
Oppenheimer,2023,872585,"['Drama', 'History']",2023,Christopher Nolan,181,"['GB', 'US']"
Spotlight,2015,314365,"['Drama', 'History']",2015,Tom McCarthy,129,['US']
American Sniper,2014,190859,"['War', 'Action']",2014,Clint Eastwood,133,['US']
Misery,1990,1700,"['Drama', 'Thriller']",1990,Rob Reiner,107,['US']
Soul Surfer,2011,43959,"['Family', 'Drama']",2011,Sean McNamara,112,['US']
Avatar,2009,19995,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2009,James Cameron,162,"['US', 'GB']"
Avatar: The Way of Water,2022,76600,"['Science Fiction', 'Adventure', 'Action']",2022,James Cameron,192,['US']
Wicked,2024,402431,"['Drama', 'Romance', 'Fantasy']",2024,Jon M. Chu,162,['US']
The Visit,2015,298312,"['Horror', 'Mystery', 'Thriller']",2015,M. Night Shyamalan,94,['US']
Saw,2004,176,"['Horror', 'Mystery', 'Crime']",2004,James Wan,103,['US']
Saw II,2005,215,['Horror'],2005,Darren Lynn Bousman,93,['US']
Saw III,2006,214,"['Horror', 'Thriller', 'Crime']",2006,Darren Lynn Bousman,108,['US']
Haunted Mansion,2023,616747,"['Comedy', 'Drama', 'Fantasy', 'Horror']",2023,Justin Simien,123,['US']
Fifty Shades of Grey,2015,216015,"['Drama', 'Romance', 'Thriller']",2015,Sam Taylor-Johnson,125,['US']
The Wolf of Wall Street,2013,106646,"['Crime', 'Drama', 'Comedy']",2013,Martin Scorsese,180,['US']
M3GAN,2022,536554,"['Science Fiction', 'Horror']",2022,Gerard Johnstone,102,['US']
Out of My Mind,2024,971606,['Drama'],2024,Amber Sealey,107,['US']
Rudy,1993,14534,"['Drama', 'History']",1993,David Anspaugh,114,['US']
Pelé: Birth of a Legend,2016,245913,['Drama'],2016,Jeff Zimbalist,107,['US']
"I, Tonya",2017,389015,"['Drama', 'Comedy']",2017,Craig Gillespie,120,['US']
Saw X,2023,951491,"['Horror', 'Mystery']",2023,Kevin Greutert,118,['US']
Good Will Hunting,1997,489,['Drama'],1997,Gus Van Sant,127,['US']
The Boy Next Door,2015,241251,['Thriller'],2015,Rob Cohen,91,['US']
It Ends with Us,2024,1079091,"['Drama', 'Romance']",2024,Justin Baldoni,131,['US']
He's Just Not That Into You,2009,10184,"['Comedy', 'Romance', 'Drama']",2009,Ken Kwapis,129,['US']
The Sixth Sense,1999,745,"['Mystery', 'Thriller', 'Drama']",1999,M. Night Shyamalan,107,['US']
The Holiday,2006,1581,"['Comedy', 'Romance']",2006,Nancy Meyers,136,['US']
Smile 2,2024,1100782,"['Horror', 'Mystery']",2024,Parker Finn,127,['US']
Waves,2019,533444,"['Romance', 'Drama']",2019,Trey Edward Shults,135,"['CA', 'US']"
The Line,2023,931107,['Drama'],2024,Ethan Berger,100,['US']
Obsessed,2009,17335,"['Drama', 'Thriller']",2009,Steve Shill,108,['US']
"Extremely Wicked, Shockingly Evil and Vile",2019,457799,"['Drama', 'Crime']",2019,Joe Berlinger,111,['US']
Knives Out,2019,546554,"['Comedy', 'Crime', 'Mystery']",2019,Rian Johnson,131,['US']
Hachi: A Dog's Tale,2009,28178,"['Drama', 'Family']",2009,Lasse Hallström,93,"['GB', 'US']"
Hillbilly Elegy,2020,592984,['Drama'],2020,Ron Howard,117,['US']
The Blind Side,2009,22881,['Drama'],2009,John Lee Hancock,129,['US']
"McFarland, USA",2015,228203,"['Drama', 'Family']",2015,Niki Caro,128,['US']
The Founder,2016,310307,"['Drama', 'History']",2016,John Lee Hancock,115,"['GR', 'US']"
National Treasure,2004,2059,"['Adventure', 'Action', 'Thriller', 'Mystery']",2004,Jon Turteltaub,131,['US']
Rocky,1976,1366,['Drama'],1976,John G. Avildsen,120,['US']
Creed III,2023,677179,"['Drama', 'Action']",2023,Michael B. Jordan,116,['US']
A Dog's Purpose,2017,381289,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Drama']",2017,Lasse Hallström,100,"['CA', 'IN', 'US']"
Babe,1995,9598,"['Fantasy', 'Drama', 'Comedy', 'Family']",1995,Chris Noonan,92,"['AU', 'US', 'GB']"
Charlotte's Web,2006,9986,"['Comedy', 'Family', 'Fantasy']",2006,Gary Winick,97,"['DE', 'US']"
Earth to Echo,2014,238603,"['Family', 'Adventure', 'Science Fiction']",2014,Dave Green,89,['US']
Charlie and the Chocolate Factory,2005,118,"['Adventure', 'Comedy', 'Family', 'Fantasy']",2005,Tim Burton,115,"['GB', 'US']"
Willy Wonka & the Chocolate Factory,1971,252,"['Family', 'Fantasy', 'Comedy']",1971,Mel Stuart,99,['US']
Max,2015,272878,"['Adventure', 'Drama', 'Family']",2015,Boaz Yakin,111,['US']
Free Willy,1993,1634,"['Family', 'Adventure', 'Drama']",1993,Simon Wincer,112,['US']
mid90s,2018,437586,"['Drama', 'Comedy']",2018,Jonah Hill,86,['US']
Anora,2024,1064213,"['Drama', 'Comedy', 'Romance']",2024,Sean Baker,139,['US']
The Little Mermaid,2023,447277,"['Adventure', 'Family', 'Fantasy', 'Romance']",2023,Rob Marshall,135,['US']
Hamilton,2020,556574,"['History', 'Drama']",2020,Thomas Kail,160,['US']
Frozen II,2019,330457,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",2019,Jennifer Lee,103,['US']
Death of a Unicorn,2025,1153714,"['Horror', 'Fantasy', 'Comedy']",2025,Alex Scharfman,107,['US']
Little Miss Sunshine,2006,773,"['Comedy', 'Drama']",2006,Jonathan Dayton,102,['US']
Hereditary,2018,493922,"['Horror', 'Mystery', 'Thriller']",2018,Ari Aster,128,"['US', 'GB']"
The Shawshank Redemption,1994,278,"['Drama', 'Crime']",1994,Frank Darabont,142,['US']
Grease,1978,621,"['Romance', 'Comedy']",1978,Randal Kleiser,110,['US']
Top Gun,1986,744,"['Action', 'Drama']",1986,Tony Scott,110,['US']
The Princess Bride,1987,2493,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",1987,Rob Reiner,99,['US']
The Little Mermaid,1989,10144,"['Animation', 'Family', 'Fantasy']",1989,John Musker,83,['US']
Selena,1997,16052,"['Drama', 'Music', 'History']",1997,Gregory Nava,127,['US']
High School Musical,2006,10947,"['Comedy', 'Drama', 'Family', 'Music', 'Romance', 'TV Movie']",2006,Kenny Ortega,98,['US']
High School Musical 2,2007,13649,"['Comedy', 'Drama', 'Family', 'Music', 'Romance', 'TV Movie']",2007,Kenny Ortega,111,['US']
High School Musical 3: Senior Year,2008,11887,"['Comedy', 'Romance', 'Drama', 'Family', 'Music']",2008,Kenny Ortega,117,['US']
WALL·E,2008,10681,"['Animation', 'Family', 'Science Fiction']",2008,Andrew Stanton,98,['US']
Twilight,2008,8966,"['Fantasy', 'Drama', 'Romance']",2008,Catherine Hardwicke,122,"['GB', 'US']"
Marley & Me,2008,14306,"['Comedy', 'Family']",2008,David Frankel,115,['US']
Princess Protection Program,2009,19458,"['Family', 'TV Movie', 'Comedy']",2009,Allison Liddi-Brown,89,['US']
The Twilight Saga: New Moon,2009,18239,"['Adventure', 'Fantasy', 'Drama', 'Romance']",2009,Chris Weitz,131,['US']
Flipped,2010,43949,"['Romance', 'Drama']",2010,Rob Reiner,89,['US']
Diary of a Wimpy Kid,2010,33217,"['Comedy', 'Family']",2010,Thor Freudenthal,92,"['GB', 'US']"
Tinker Bell and the Great Fairy Rescue,2010,44683,"['Animation', 'Adventure', 'Family', 'Fantasy']",2010,Bradley Raymond,76,"['IN', 'US']"
Tinker Bell and the Pirate Fairy,2014,175112,"['Animation', 'Family']",2014,Peggy Holmes,78,['US']
Tinker Bell and the Lost Treasure,2009,25475,"['Animation', 'Family', 'Adventure', 'Fantasy']",2009,Klay Hall,81,"['IN', 'US']"
Secret of the Wings,2012,75258,"['Animation', 'Family', 'Fantasy', 'Adventure']",2012,Peggy Holmes,75,"['IN', 'US']"
